prompt_idx,pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,49,63,343.628400,0.069500,31.916901,4.936000,304.054810,2.600400,0,3076,196608,5908201472
0,50,323,264.721600,0.052000,30.499201,4.557000,227.180893,2.377100,0,3076,196608,5908201472
0,51,1896,232.150500,0.042600,25.205700,4.192600,200.675598,1.986200,0,3076,196608,5908201472
0,52,264,284.501300,0.032400,23.235001,4.162300,255.134903,1.896700,0,3076,196608,5908201472
0,53,3175,208.842600,0.032900,23.046200,3.685900,180.139603,1.895600,0,3076,196608,5908201472
0,54,5733,189.173900,0.031400,22.739000,3.626300,160.910507,1.824400,0,3076,196608,5908201472
0,55,1565,266.291700,0.038300,20.983101,3.642900,239.864395,1.719300,0,3076,196608,5908201472
0,56,1118,356.890800,0.026100,20.371099,3.473400,331.282898,1.693500,0,3076,196608,5908201472
0,57,28587,239.121300,0.039700,20.437300,3.496100,213.390106,1.711400,0,3076,196608,5908201472
0,58,576,256.308300,0.039900,20.085800,3.482200,230.962601,1.690600,0,3076,196608,5908201472
0,59,729,238.806800,0.037300,20.020300,3.426500,213.595306,1.677900,0,3076,196608,5908201472
0,60,1969,151.996300,0.056100,20.198099,3.580200,126.432297,1.685700,0,3076,196608,5908201472
0,61,537,144.594000,0.041200,20.086000,3.286800,119.427803,1.696600,0,3076,196608,5908201472
0,62,5602,195.119600,0.053900,20.204800,3.409100,169.704498,1.694900,0,3076,196608,5908201472
0,63,279,183.646900,0.028100,19.493999,3.119500,159.212997,1.749100,0,3076,196608,5908201472
0,64,1946,190.692200,0.061700,19.520300,3.326100,166.067398,1.671200,0,3076,196608,5908201472
0,65,1140,115.930300,0.032300,19.702900,3.226600,91.232803,1.692100,0,3076,196608,5908201472
0,66,13,226.477500,0.035900,19.564699,3.222000,201.847107,1.760000,0,3076,196608,5908201472
0,67,576,200.613600,0.061100,19.628500,3.388800,175.774597,1.709200,0,3076,196608,5908201472
0,68,729,169.725700,0.043500,19.904400,3.623900,144.430496,1.676500,0,3076,196608,5908201472
0,69,1969,129.858300,0.040100,19.590700,3.197100,105.275002,1.708600,0,3076,196608,5908201472
0,70,470,171.718800,0.050200,19.677200,3.206900,147.069000,1.671600,0,3076,196608,5908201472
0,71,264,196.999000,0.037900,19.672600,3.348200,172.186996,1.705400,0,3076,196608,5908201472
0,72,501,117.334600,0.052000,19.517599,3.236100,92.768303,1.722700,0,3076,196608,5908201472
0,73,1140,138.598800,0.031400,19.589899,3.338000,113.902000,1.697300,0,3076,196608,5908201472
0,74,429,204.451200,0.055000,19.848900,3.356500,179.465607,1.684300,0,3076,196608,5908201472
0,75,374,232.601500,0.032900,20.112700,3.552500,207.159607,1.687000,0,3076,196608,5908201472
0,76,10615,178.991800,0.028600,19.790899,3.102200,154.335098,1.690400,0,3076,196608,5908201472
0,77,13,203.041500,0.041600,19.917801,3.400200,177.962799,1.666300,0,3076,196608,5908201472
0,78,576,203.282100,0.026500,20.493299,4.740300,176.249298,1.724000,0,3076,196608,5908201472
0,79,729,182.856400,0.032300,19.941700,3.255400,157.903702,1.681200,0,3076,196608,5908201472
0,80,1969,137.793700,0.040400,19.768999,3.333900,112.920303,1.687500,0,3076,196608,5908201472
0,81,537,117.923200,0.038900,19.912001,3.528600,92.723602,1.666200,0,3076,196608,5908201472
0,82,990,122.152900,0.046500,20.149900,4.766600,95.430000,1.714900,0,3076,196608,5908201472
0,83,894,125.623400,0.044000,20.091000,4.070500,99.631203,1.731700,0,3076,196608,5908201472
0,84,5798,304.175500,0.054700,20.111799,3.790100,278.427094,1.741700,0,3076,196608,5908201472
0,85,3419,159.880000,0.047800,20.163300,3.329100,134.542999,1.748900,0,3076,196608,5908201472
0,86,28273,177.250400,0.060300,20.080200,3.569000,151.709198,1.768400,0,3076,196608,5908201472
0,87,5746,116.884100,0.065900,20.080500,3.725700,91.271500,1.678200,0,3076,196608,5908201472
0,88,13,214.026900,0.060900,20.336599,3.664200,188.184402,1.730700,0,3076,196608,5908201472
0,89,576,269.087600,0.047500,20.217501,3.419400,243.617798,1.736000,0,3076,196608,5908201472
0,90,729,187.429300,0.026500,20.616501,3.691700,161.366592,1.678400,0,3076,196608,5908201472
0,91,1969,144.497100,0.033300,20.326200,4.009500,118.383797,1.695700,0,3076,196608,5908201472
0,92,387,151.568900,0.053700,20.385700,3.333000,126.025803,1.729000,0,3076,196608,5908201472
0,93,5326,126.342100,0.031700,20.454500,3.543700,100.559898,1.704400,0,3076,196608,5908201472
0,94,304,151.470600,0.059000,20.603300,3.711700,125.364899,1.684200,0,3076,196608,5908201472
0,95,13027,209.838000,0.035600,19.910101,3.725400,184.438705,1.685200,0,3076,196608,5908201472
0,96,220,512.493500,0.031500,20.407301,3.870800,486.391998,1.750900,0,3076,196608,5908201472
0,97,18,305.043700,0.039700,20.158199,3.549500,279.530396,1.718600,0,3076,196608,5908201472
0,98,382,361.807300,0.045100,20.305799,3.845700,335.890808,1.675600,0,3076,196608,5908201472
0,99,73594,400.903800,0.028200,20.423800,3.831100,374.874908,1.699700,0,3076,196608,5908201472
0,100,12669,454.614200,0.049400,21.413799,6.076900,425.205414,1.804800,0,3076,196608,5908201472
0,101,198,276.044900,0.101500,23.033899,3.638300,247.344894,1.875600,0,3076,196608,5908201472
0,102,750,307.858100,0.040500,24.161400,4.027700,277.688202,1.897300,0,3076,196608,5908201472
0,103,3974,376.901400,0.032600,24.926901,3.941800,345.979706,1.975700,0,3076,196608,5908201472
0,104,6860,223.563800,0.032300,24.542801,3.941700,193.101898,1.899900,0,3076,196608,5908201472
0,105,10939,363.588200,0.045800,24.339701,4.102200,333.086304,1.939200,0,3076,196608,5908201472
0,106,982,489.248900,0.040500,24.531700,3.701100,458.928101,1.992100,0,3076,196608,5908201472
0,107,262,313.836500,0.057300,24.556000,4.108700,283.103210,1.958000,0,3076,196608,5908201472
0,108,421,377.481400,0.051800,24.387800,3.888700,347.202209,1.903300,0,3076,196608,5908201472
0,109,2422,521.974800,0.035600,27.220200,4.926800,487.463104,2.282600,0,3076,196608,5908201472
0,110,10939,329.279700,0.035400,31.123199,4.733100,290.983002,2.360900,0,3076,196608,5908201472
0,111,8,386.836800,0.032400,32.439499,4.579600,347.278107,2.463400,0,3076,196608,5908201472
0,112,2651,509.922300,0.033900,34.616600,4.678300,467.836487,2.704900,0,3076,196608,5908201472
0,113,220,410.475300,0.068100,37.139099,4.767100,365.623810,2.805200,0,3076,196608,5908201472
0,114,16,417.980900,0.039000,37.439499,4.815600,372.860687,2.776600,0,3076,196608,5908201472
0,115,510,443.625100,0.047100,38.771400,5.740700,396.139893,2.876900,0,3076,196608,5908201472
0,116,286,506.612500,0.043300,40.238602,4.985400,458.297089,2.998300,0,3076,196608,5908201472
0,117,470,287.727700,0.056500,41.180302,5.082700,238.670105,2.678700,0,3076,196608,5908201472
0,118,2890,242.921300,0.037900,34.903999,4.599100,200.895493,2.445000,0,3076,196608,5908201472
0,119,198,228.543300,0.036900,32.437302,4.649200,189.013306,2.365100,0,3076,196608,5908201472
0,120,262,158.281600,0.030900,29.660200,4.137200,122.207703,2.199800,0,3076,196608,5908201472
0,121,26045,223.175500,0.042100,25.601601,3.665100,192.003906,1.820300,0,3076,196608,5908201472
0,122,284,219.856300,0.037600,23.607700,3.999200,190.327606,1.827400,0,3076,196608,5908201472
0,123,2890,236.330100,0.057800,23.724501,3.983100,206.695801,1.819600,0,3076,196608,5908201472
0,124,24693,299.249600,0.041600,23.841000,3.859500,269.567413,1.890900,0,3076,196608,5908201472
0,125,10939,241.947600,0.040800,24.050600,4.932000,211.041000,1.834800,0,3076,196608,5908201472
0,126,8,402.181800,0.101900,24.013399,4.205600,371.972595,1.832500,0,3076,196608,5908201472
0,127,442,275.167400,0.041100,23.658001,3.821500,245.453705,2.145600,0,3076,196608,5908201472
0,128,220,369.305800,0.047000,27.989201,4.215800,334.850006,2.134400,0,3076,196608,5908201472
0,129,17,310.162400,0.130900,24.871201,4.140300,279.043396,1.919600,0,3076,196608,5908201472
0,130,921,245.636800,0.030500,24.441799,4.044700,215.201202,1.861600,0,3076,196608,5908201472
0,131,262,201.066400,0.059000,23.931700,3.951600,171.098297,1.952300,0,3076,196608,5908201472
0,132,2115,198.982100,0.153200,23.653500,3.999200,169.219894,1.884500,0,3076,196608,5908201472
0,133,284,150.880200,0.076700,23.237000,4.089000,121.541298,1.873600,0,3076,196608,5908201472
0,134,508,121.917100,0.069300,23.462601,4.241900,92.420097,1.671900,0,3076,196608,5908201472
0,135,87,292.562600,0.035900,21.032000,3.840200,265.808197,1.791800,0,3076,196608,5908201472
0,136,369,189.274200,0.120800,20.870001,3.529400,163.019806,1.688200,0,3076,196608,5908201472
0,137,856,316.236000,0.052300,20.563900,3.829600,290.048492,1.680500,0,3076,196608,5908201472
0,138,304,181.514300,0.037600,20.686600,3.425600,155.528107,1.783400,0,3076,196608,5908201472
0,139,2890,232.549500,0.071600,20.960400,4.852400,204.867905,1.751000,0,3076,196608,5908201472
0,140,421,171.511700,0.035600,21.186800,4.346400,144.123001,1.770000,0,3076,196608,5908201472
0,141,856,175.239400,0.045400,21.049999,3.818800,148.603806,1.671300,0,3076,196608,5908201472
0,142,366,164.347000,0.051900,20.911699,4.068800,137.541504,1.726300,0,3076,196608,5908201472
0,143,26045,134.422600,0.068800,20.838699,3.896100,107.844398,1.708900,0,3076,196608,5908201472
