prompt_idx,pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,55,1565,245.497600,0.067200,27.234501,3.140000,209.732895,4.935400,0,632320,196608,6438780928
0,56,1118,316.345400,0.073700,27.503000,2.935300,280.314789,5.014500,0,632320,196608,6438780928
0,57,28587,308.820100,0.095600,27.953899,3.519500,271.951385,4.933700,0,632320,196608,6438780928
0,58,576,257.510400,0.082400,28.146099,3.119000,220.771194,4.970500,0,632320,196608,6438780928
0,59,729,217.955000,0.082400,27.867599,3.744700,180.934601,4.924500,0,632320,196608,6438780928
0,60,1969,201.491400,0.080900,27.999701,2.742900,165.253693,5.011100,0,632320,196608,6438780928
0,61,537,208.164500,0.086800,28.322399,3.875400,170.488205,4.952900,0,632320,196608,6438780928
0,62,5602,237.770200,0.078200,27.957899,3.094300,201.240295,4.974800,0,632320,196608,6438780928
0,63,279,203.415800,0.071800,27.607800,3.613400,166.779007,4.955300,0,632320,196608,6438780928
0,64,1946,195.831700,0.066700,27.197599,3.049700,160.108994,5.020600,0,632320,196608,6438780928
0,65,1140,161.146200,0.082300,27.815399,3.439400,124.473701,4.936100,0,632320,196608,6438780928
0,66,13,288.075100,0.070500,27.981199,3.403000,251.308807,4.954400,0,632320,196608,6438780928
0,67,576,220.792200,0.069600,27.236799,2.826600,185.347900,4.969600,0,632320,196608,6438780928
0,68,729,180.947600,0.067200,27.522699,3.157100,144.896896,4.943600,0,632320,196608,6438780928
0,69,1969,180.953000,0.078500,27.397600,2.822100,145.238800,5.049400,0,632320,196608,6438780928
0,70,470,200.899400,0.082300,27.329000,2.838700,165.234100,5.025300,0,632320,196608,6438780928
0,71,264,207.316100,0.069800,27.494499,2.712600,171.604401,5.049000,0,632320,196608,6438780928
0,72,501,157.965800,0.118100,27.596901,2.927400,121.975800,4.969600,0,632320,196608,6438780928
0,73,1140,163.211000,0.067600,27.211100,2.681700,127.949402,4.926100,0,632320,196608,6438780928
0,74,429,165.508300,0.040300,27.568701,2.570200,129.998703,4.964700,0,632320,196608,6438780928
0,75,374,189.551100,0.060100,27.839001,3.125300,153.165497,4.965700,0,632320,196608,6438780928
0,76,10615,161.603600,0.074300,27.699600,3.032400,125.469002,4.928900,0,632320,196608,6438780928
0,77,13,301.817700,0.069000,28.115700,3.154000,265.128510,4.957100,0,632320,196608,6438780928
0,78,576,237.506000,0.070700,27.623100,2.672400,201.701904,4.973100,0,632320,196608,6438780928
0,79,729,194.194300,0.086800,27.699400,2.806400,158.230804,4.963500,0,632320,196608,6438780928
0,80,1969,150.593500,0.072300,27.436100,2.822100,114.824600,4.978900,0,632320,196608,6438780928
0,81,537,182.930900,0.152100,28.231001,3.567500,145.617905,4.967100,0,632320,196608,6438780928
0,82,990,220.832800,0.093400,27.896000,3.253300,184.103104,5.034200,0,632320,196608,6438780928
0,83,894,160.820100,0.098800,27.957199,3.348600,124.051003,4.967300,0,632320,196608,6438780928
0,84,5798,293.042600,0.079700,28.154301,3.515200,255.853394,5.009800,0,632320,196608,6438780928
0,85,3419,147.818800,0.097500,27.565701,2.928300,111.899597,4.942500,0,632320,196608,6438780928
0,86,28273,181.412500,0.055500,27.641199,2.680000,145.653305,4.940700,0,632320,196608,6438780928
0,87,5746,165.386600,0.088500,27.896500,2.714600,129.247498,5.009100,0,632320,196608,6438780928
0,88,13,275.844600,0.074500,27.965401,2.885400,239.567703,4.942000,0,632320,196608,6438780928
0,89,576,236.963300,0.088800,27.759300,2.696800,200.956604,5.015200,0,632320,196608,6438780928
0,90,729,190.145100,0.077600,27.846701,2.887700,154.001801,4.971500,0,632320,196608,6438780928
0,91,1969,184.096600,0.072400,27.859301,2.900800,147.820908,4.972100,0,632320,196608,6438780928
0,92,387,194.445500,0.077700,28.745899,3.363700,156.883698,4.999000,0,632320,196608,6438780928
0,93,5326,160.085500,0.057800,28.185400,3.060100,123.452003,4.952800,0,632320,196608,6438780928
0,94,304,225.857300,0.070900,28.892799,2.992300,188.496307,5.043600,0,632320,196608,6438780928
0,95,13027,234.784700,0.103400,27.955000,3.240100,198.135605,4.971700,0,632320,196608,6438780928
0,96,220,311.004800,0.076100,28.019400,3.081400,274.440613,5.007500,0,632320,196608,6438780928
0,97,18,274.142700,0.096500,27.990400,3.040600,237.355103,5.068800,0,632320,196608,6438780928
0,98,382,398.585900,0.112000,28.032301,3.051600,362.018005,4.970900,0,632320,196608,6438780928
0,99,73594,308.172800,0.076700,28.417000,3.727800,270.571106,4.926600,0,632320,196608,6438780928
0,100,12669,303.907900,0.097000,28.192900,3.066500,267.187012,4.964300,0,632320,196608,6438780928
0,101,198,185.772900,0.098700,27.972799,3.135900,149.227402,4.976400,0,632320,196608,6438780928
0,102,750,216.367200,0.065700,28.063000,3.101800,179.713196,4.987100,0,632320,196608,6438780928
0,103,3974,267.100300,0.070800,27.847900,2.819100,230.996002,5.016100,0,632320,196608,6438780928
1,0,65354,320.121200,3.542700,24.025101,2.835000,284.273804,4.929000,0,632320,196608,6438780928
1,1,448,321.104400,0.067900,24.286800,2.746600,288.704010,4.938600,0,632320,196608,6438780928
1,2,1172,186.591500,0.074400,24.258801,2.783200,154.131699,4.960600,0,632320,196608,6438780928
1,3,264,195.231800,0.128600,24.478800,3.367600,161.885895,4.958500,0,632320,196608,6438780928
1,4,3175,153.862600,0.071800,25.139099,2.984000,120.234299,5.013300,0,632320,196608,6438780928
1,5,13027,231.653100,0.072200,24.370800,2.797300,199.042603,4.962100,0,632320,196608,6438780928
1,6,50494,152.729700,0.056600,24.377399,2.999300,119.951302,4.956400,0,632320,196608,6438780928
1,7,2038,139.842000,0.053200,24.588400,3.039300,106.846298,4.936200,0,632320,196608,6438780928
1,8,2504,167.676600,0.069800,24.745100,3.265200,134.231201,4.990200,0,632320,196608,6438780928
1,9,8482,147.547300,0.094400,24.581200,3.192900,114.300598,4.978900,0,632320,196608,6438780928
1,10,264,96.561700,0.074200,24.372101,3.218700,63.604301,4.922700,0,632320,196608,6438780928
1,11,729,108.843900,0.051500,24.370701,2.911700,76.171799,4.923000,0,632320,196608,6438780928
1,12,429,168.571300,0.070000,24.532801,2.993500,135.588806,4.990300,0,632320,196608,6438780928
1,13,17431,261.653200,0.094300,24.884800,3.380500,227.953003,4.939800,0,632320,196608,6438780928
1,14,288,143.178500,0.076400,24.459000,3.023300,110.342300,4.928300,0,632320,196608,6438780928
1,15,264,153.322100,0.097700,24.393700,2.852800,120.613197,4.974500,0,632320,196608,6438780928
1,16,85499,198.280100,0.076600,24.367800,2.937200,165.485306,4.992600,0,632320,196608,6438780928
